ID,Offset,DST Diff,DST Rule,Name,Country,City,Longitude,Latitude
187,1,1,2,MILAN,Italy,Milan,9.18652,45.46545
188,-6,1,1,MILWAUKEE,United States,Milwaukee,-87.90647,43.0389
189,3,1,0,MINSK,Belarus,Minsk,27.56667,53.9
190,3,1,0,MOGADISHU,Somalia,Mogadishu,45.34597,2.04603
191,0,1,0,MONROVIA,Liberia,Monrovia,-10.79716,6.30077
192,-3,1,0,MONTEVIDEO,Uruguay,Montevideo,-56.18194,-34.88361
193,-5,1,1,MONTREAL,Canada,Montreal,-73.56532,45.50811
194,3,1,0,MOSCOW,Russia,Moscow,37.6173,55.75583
195,5.5,1,0,MUMBAI,India,Mumbai,72.87766,19.07598
196,1,1,2,MUNICH,Germany,Munich,11.58198,48.13513
197,4,1,0,MUSCAT,Oman,Muscat,58.54,23.61
198,1,1,0,N'DJAMENA,Chad,N'Djamena,15.05281,12.11166
199,3,1,0,NAIROBI,Kenya,Nairobi,36.82195,-1.29207
200,1,1,2,NAPLES,Italy,Naples,14.26812,40.85177
201,1,1,2,NATERS,Switzerland,Naters,7.99579,46.32728
202,-5,1,1,NEW YORK,United States,New York,-74.00597,40.71435
203,1,1,0,NIAMEY,Niger,Niamey,2.11252,13.51267
204,0,1,0,NOUAKCHOTT,Mauritania,Nouakchott,-15.97842,18.08406
205,11,1,0,NOUMEA,New Caledonia,Noumea,166.458,-22.2758
206,7,1,0,NOVOKUZNETSK,Russia,Novokuznetsk,87.11667,53.75
207,7,1,0,NOVOSIBIRSK,Russia,Novosibirsk,82.93333,55.01667
208,13,1,0,NUKU'ALOFA,Tonga,Nuku'alofa,-175.2,-21.13333
209,-2,1,31,NUUK,Greenland,Nuuk,-51.72141,64.18362
210,6,1,0,OMSK,Russia,Omsk,73.38333,54.96667
211,9,1,0,OSAKA,Japan,Osaka,135.50217,34.69374
212,1,1,2,OSLO,Norway,Oslo,10.75225,59.91387
213,-5,1,1,OTTAWA,Canada,Ottawa,-75.69324,45.41463
214,0,1,0,OUAGADOUGOU,Burkina Faso,Ouagadougou,-1.53386,12.36464
215,-11,1,0,PAGO PAGO,American Samoa,Pago Pago,-170.70419,-14.27555
216,1,1,2,PALERMO,Italy,Palermo,13.36127,38.11569
217,-5,1,0,PANAMA CITY,Panama,Panama City,-79.51879,8.99427
218,-10,1,0,PAPEETE,Tahiti - French Polynesia,Papeete,-149.55865,-17.53465
219,-3,1,0,PARAMARIBO,Suriname,Paramaribo,-55.16788,5.8232
220,1,1,2,PARIS,France,Paris,2.35222,48.85661
221,5,1,0,PERM,Russia,Perm,56.24889,58.01389
